inning_number,half,out,runner_on_1b,runner_on_2b,runner_on_3b,score_diff,total_games,home_wins,win_expectancy
1,bot,0,1,0,0,0,799,449,0.5619524405506884
1,bot,0,1,1,0,0,174,111,0.6379310344827587
1,bot,0,1,0,0,-1,166,73,0.4397590361445783
1,bot,0,0,1,0,0,113,67,0.5929203539823009
1,bot,0,1,0,0,-2,84,29,0.34523809523809523
1,bot,0,1,0,1,0,68,44,0.6470588235294118
1,bot,0,0,0,0,1,50,33,0.66
1,bot,0,1,1,1,0,47,32,0.6808510638297872
1,bot,0,1,1,0,-1,43,22,0.5116279069767442
1,bot,0,1,0,0,1,36,24,0.6666666666666666
1,bot,0,1,0,0,-3,35,10,0.2857142857142857
1,bot,0,1,1,0,1,32,18,0.5625
1,bot,0,0,1,0,1,28,20,0.7142857142857143
1,bot,0,0,1,1,0,24,16,0.6666666666666666
1,bot,0,1,0,1,1,22,18,0.8181818181818182
1,bot,0,1,1,0,-2,20,9,0.45
1,bot,0,0,0,1,0,17,10,0.5882352941176471
1,bot,0,0,1,0,-1,17,9,0.5294117647058824
1,bot,0,1,0,1,-1,17,10,0.5882352941176471
1,bot,0,1,0,0,-4,16,2,0.125
1,bot,0,0,0,0,2,15,11,0.7333333333333333
1,bot,0,0,1,0,-2,13,7,0.5384615384615384
1,bot,0,1,1,1,-1,13,7,0.5384615384615384
1,bot,0,0,0,0,0,12,5,0.4166666666666667
1,bot,0,1,0,0,2,12,11,0.9166666666666666
1,bot,0,1,0,1,2,12,12,1.0
1,bot,0,1,0,1,-2,10,2,0.2
1,bot,0,1,1,0,2,10,7,0.7
1,bot,0,1,1,1,-2,10,3,0.3
1,bot,0,0,0,0,3,9,6,0.6666666666666666
1,bot,0,0,1,1,1,8,6,0.75
1,bot,0,1,1,1,1,8,5,0.625
1,bot,0,0,1,0,-3,7,1,0.14285714285714285
1,bot,0,1,1,0,-3,7,4,0.5714285714285714
1,bot,0,0,1,0,2,6,6,1.0
1,bot,0,1,0,0,-5,6,1,0.16666666666666666
1,bot,0,0,0,0,-1,5,3,0.6
1,bot,0,0,0,0,4,5,4,0.8
1,bot,0,0,0,1,-1,5,3,0.6
1,bot,0,1,0,0,3,5,4,0.8
1,bot,0,1,1,1,2,5,3,0.6
1,bot,0,0,0,1,-2,4,2,0.5
1,bot,0,1,1,0,-4,4,1,0.25
1,bot,0,0,0,0,-2,3,1,0.3333333333333333
1,bot,0,0,1,0,-4,3,0,0.0
1,bot,0,0,1,1,-1,3,0,0.0
1,bot,0,1,0,1,-3,3,0,0.0
1,bot,0,1,0,1,4,3,2,0.6666666666666666
1,bot,0,1,1,0,3,3,2,0.6666666666666666
1,bot,0,0,1,1,-2,2,1,0.5
1,bot,0,0,1,1,2,2,2,1.0
1,bot,0,0,1,1,3,2,2,1.0
1,bot,0,1,1,1,-4,2,1,0.5
1,bot,0,1,1,1,5,2,2,1.0
1,bot,0,0,0,1,2,1,1,1.0
1,bot,0,0,1,0,4,1,1,1.0
1,bot,0,0,1,1,-5,1,0,0.0
1,bot,0,0,1,1,-4,1,0,0.0
1,bot,0,0,1,1,5,1,1,1.0
1,bot,0,1,0,0,4,1,1,1.0
1,bot,0,1,0,0,5,1,1,1.0
1,bot,0,1,0,1,-4,1,0,0.0
1,bot,0,1,1,0,-5,1,0,0.0
1,bot,0,1,1,0,4,1,1,1.0
1,bot,0,1,1,0,5,1,1,1.0
1,bot,0,1,1,1,-3,1,1,1.0
1,bot,0,1,1,1,3,1,0,0.0
1,bot,0,1,1,1,4,1,1,1.0
1,bot,1,0,0,0,0,1605,784,0.4884735202492212
1,bot,1,1,0,0,0,783,433,0.5530012771392082
1,bot,1,0,0,0,-1,331,123,0.3716012084592145
1,bot,1,1,1,0,0,251,154,0.6135458167330677
1,bot,1,0,1,0,0,196,107,0.5459183673469388
1,bot,1,0,0,0,-2,161,50,0.3105590062111801
1,bot,1,1,0,0,-1,156,60,0.38461538461538464
1,bot,1,1,0,1,0,104,77,0.7403846153846154
1,bot,1,1,1,1,0,91,62,0.6813186813186813
1,bot,1,1,0,0,-2,83,29,0.3493975903614458
1,bot,1,0,0,0,-3,81,15,0.18518518518518517
1,bot,1,1,0,0,1,80,48,0.6
1,bot,1,0,0,1,0,74,42,0.5675675675675675
1,bot,1,0,0,0,1,69,36,0.5217391304347826
1,bot,1,1,1,0,1,68,50,0.7352941176470589
1,bot,1,0,1,1,0,59,38,0.6440677966101694
1,bot,1,0,0,0,2,53,36,0.6792452830188679
1,bot,1,1,1,0,-1,52,32,0.6153846153846154
1,bot,1,0,1,0,1,51,33,0.6470588235294118
1,bot,1,0,1,0,-1,50,22,0.44
1,bot,1,1,0,1,1,47,31,0.6595744680851063
1,bot,1,1,0,0,2,46,34,0.7391304347826086
1,bot,1,1,1,1,1,43,32,0.7441860465116279
1,bot,1,0,0,0,-4,39,5,0.1282051282051282
1,bot,1,1,0,0,-3,36,6,0.16666666666666666
1,bot,1,1,1,0,2,34,28,0.8235294117647058
1,bot,1,1,0,1,-1,27,12,0.4444444444444444
1,bot,1,1,1,0,-2,27,9,0.3333333333333333
1,bot,1,1,1,1,2,25,21,0.84
1,bot,1,0,0,0,3,24,17,0.7083333333333334
1,bot,1,0,1,0,2,22,17,0.7727272727272727
1,bot,1,1,0,1,2,22,18,0.8181818181818182
1,bot,1,0,1,1,1,20,14,0.7
1,bot,1,1,0,0,3,19,12,0.631578947368421
1,bot,1,1,1,1,-1,18,9,0.5
1,bot,1,0,0,1,1,17,10,0.5882352941176471
1,bot,1,1,0,0,-4,16,2,0.125
1,bot,1,0,1,0,-2,15,7,0.4666666666666667
1,bot,1,0,1,1,-1,15,10,0.6666666666666666
1,bot,1,0,1,1,2,15,12,0.8
1,bot,1,0,0,0,-5,14,1,0.07142857142857142
1,bot,1,0,0,1,-1,14,6,0.42857142857142855
1,bot,1,1,1,0,3,14,10,0.7142857142857143
1,bot,1,1,1,0,-3,12,3,0.25
1,bot,1,1,1,1,-2,12,6,0.5
1,bot,1,0,1,0,-3,11,1,0.09090909090909091
1,bot,1,0,1,0,3,11,11,1.0
1,bot,1,1,1,1,3,10,8,0.8
1,bot,1,0,0,0,4,9,7,0.7777777777777778
1,bot,1,1,0,0,-5,8,1,0.125
1,bot,1,1,0,1,-2,8,1,0.125
1,bot,1,0,1,1,-2,7,6,0.8571428571428571
1,bot,1,1,0,1,3,7,6,0.8571428571428571
1,bot,1,0,1,0,-4,6,0,0.0
1,bot,1,1,1,0,-4,6,0,0.0
1,bot,1,0,0,1,-3,5,2,0.4
1,bot,1,1,1,0,4,5,4,0.8
1,bot,1,1,0,0,4,4,4,1.0
1,bot,1,1,0,1,-3,4,0,0.0
1,bot,1,1,1,1,4,4,4,1.0
1,bot,1,0,0,1,-2,3,3,1.0
1,bot,1,0,1,1,3,3,3,1.0
1,bot,1,1,1,0,-5,3,0,0.0
1,bot,1,0,0,0,5,2,2,1.0
1,bot,1,0,1,0,4,2,2,1.0
1,bot,1,1,1,1,-4,2,0,0.0
1,bot,1,0,0,1,2,1,1,1.0
1,bot,1,0,0,1,3,1,1,1.0
1,bot,1,0,0,1,4,1,0,0.0
1,bot,1,0,1,0,-5,1,0,0.0
1,bot,1,0,1,1,-5,1,0,0.0
1,bot,1,0,1,1,-3,1,1,1.0
1,bot,1,0,1,1,5,1,1,1.0
1,bot,1,1,0,1,-5,1,1,1.0
1,bot,1,1,0,1,-4,1,0,0.0
1,bot,1,1,0,1,4,1,0,0.0
1,bot,1,1,0,1,5,1,1,1.0
1,bot,1,1,1,1,-5,1,1,1.0
1,bot,1,1,1,1,-3,1,1,1.0
1,bot,2,0,0,0,0,1171,520,0.444064901793339
1,bot,2,1,0,0,0,680,331,0.48676470588235293
1,bot,2,1,1,0,0,270,124,0.45925925925925926
1,bot,2,0,0,0,-1,241,88,0.3651452282157676
1,bot,2,0,1,0,0,218,110,0.5045871559633027
1,bot,2,1,0,0,-1,155,50,0.3225806451612903
1,bot,2,1,0,0,1,142,80,0.5633802816901409
1,bot,2,0,0,0,-2,128,34,0.265625
1,bot,2,0,0,0,1,126,63,0.5
1,bot,2,1,0,1,0,104,57,0.5480769230769231
1,bot,2,1,1,0,1,102,59,0.5784313725490197
1,bot,2,0,0,1,0,94,48,0.5106382978723404
1,bot,2,0,1,0,1,91,53,0.5824175824175825
1,bot,2,0,0,0,2,88,64,0.7272727272727273
1,bot,2,1,0,1,1,80,50,0.625
1,bot,2,1,0,0,-2,77,20,0.2597402597402597
1,bot,2,1,0,0,2,75,48,0.64
1,bot,2,1,1,1,0,73,38,0.5205479452054794
1,bot,2,0,0,0,-3,64,11,0.171875
1,bot,2,1,1,0,2,53,42,0.7924528301886793
1,bot,2,0,1,0,-1,50,13,0.26
1,bot,2,1,1,0,-1,49,14,0.2857142857142857
1,bot,2,0,1,0,2,48,33,0.6875
1,bot,2,0,1,1,0,47,25,0.5319148936170213
1,bot,2,1,1,1,1,47,27,0.574468085106383
1,bot,2,1,1,0,3,43,34,0.7906976744186046
1,bot,2,0,0,1,1,37,27,0.7297297297297297
1,bot,2,1,0,0,3,37,26,0.7027027027027027
1,bot,2,1,0,0,-3,34,4,0.11764705882352941
1,bot,2,1,0,1,2,32,26,0.8125
1,bot,2,1,1,0,-2,31,7,0.22580645161290322
1,bot,2,0,0,0,3,30,27,0.9
1,bot,2,0,0,0,-4,29,4,0.13793103448275862
1,bot,2,1,1,1,2,28,22,0.7857142857142857
1,bot,2,0,1,0,3,25,18,0.72
1,bot,2,0,1,0,-2,23,10,0.43478260869565216
1,bot,2,0,1,1,1,23,13,0.5652173913043478
1,bot,2,0,0,0,4,20,16,0.8
1,bot,2,0,0,1,-1,20,11,0.55
1,bot,2,1,0,1,-1,20,9,0.45
