stadium,REG_ID,type,city,parkfactor,weather,scode
창원NC파크,11H20301,C,창원,1.1,"""nx"": 89, ""ny"": 76",CW
수원KT위즈파크,11B20601,C,수원,1,"""nx"": 60, ""ny"": 121",SW
대구삼성라이온즈파크,11H10701,C,대구,1.5,"""nx"": 90, ""ny"": 90",DG
인천SSG랜더스필드,11B20201,C,인천,1.45,"""nx"": 55, ""ny"": 124",MH
고척스카이돔,,,서울,0.82,,GC
광주기아챔피언스필드,11B20702,C,광주,0.95,"""nx"": 59, ""ny"": 75",GJ
대전한화생명볼파크,11C20401,C,대전,1.05,"""nx"": 68, ""ny"": 100",DS
사직야구장,11H20201,C,부산,1.04,"""nx"": 98, ""ny"": 76",SJ
잠실야구장,11B10101,C,서울,0.73,"""nx"": 61, ""ny"": 126",JS
포항야구장,11H10201,C,포항,1.55,"""nx"": 102, ""ny"": 95",PH
울산문수야구장,11H20101,C,울산,0.95,"""nx"": 102, ""ny"": 83",WS
